Altitudes, Azimuths
-1.1865717626119656, 2.5393747314625923
-1.0395097843838725, 2.0934106936076335
-0.85566909779094602, 1.818031012722831
-0.65979232068272775, 1.618826212267482
-0.461917841433992, 1.451701661244773
-0.26773639759994422, 1.2950262190763224
-0.082037717316241446, 1.1356837451572281
0.089821132977305873, 0.96374158041871694
0.24101852290897693, 0.77072929843233473
0.3627804028592021, 0.55031601774433425
0.44486090533437034, 0.30143855394441577
0.47790669175906175, 0.032453537560983819
0.45740999715913727, -0.23893274603261805
0.38622311063569464, -0.49374271605697945
0.27292184943457926, -0.72109995399477134
0.12783714826176806, -0.9201646037447051
-0.039808271100040295, -1.0963879361707058
-0.22275190752713039, -1.2578843894347786
-0.41535831810533058, -1.4141770139614147
-0.61280453857901906, -1.5773233630194856
-0.80980885495300636, -1.766130380490974
-0.99790752143448613, -2.0173004117934523
-1.1574849760340227, -2.4110798972840324
-1.238773560825317, -3.0530836925349862
-1.188122949881446, 2.5328465729713896
-1.040258820909607, 2.0878911702603107
-0.85605947466156562, 1.8136579581200694
-0.66006918696242545, 1.6151807965290197
-0.46221973493529755, 1.448487064694991
-0.26815836493028622, 1.2920579547973343
-0.08265926961887668, 1.1328484065547448
0.088924194518178498, 0.9609798160292875
0.23977271700018085, 0.76804065259339227
0.36112543607758796, 0.54777837803268148
0.44277523601558094, 0.29921818217340851
0.47543664411254727, 0.030757883807640635
0.45467017022855849, -0.23996832525305742
0.38335228445472902, -0.4941308716990449
0.27003176224842806, -0.72095886202685311
0.12499302858800597, -0.91962923569137567
-0.042580546641838295, -1.0955592426805858
-0.22545269145702182, -1.2568200628041422
-0.41800553413877695, -1.4129001446835499
-0.61543129300704247, -1.5758392389390488
-0.81246639181340385, -1.7644693157348876
-1.000666655526186, -2.0156905404365304
-1.1603740366875739, -2.410689631709089
-1.2413771612945033, -3.056969723023548
-1.189544896722694, 2.5263253997902657
-1.0408916728026874, 2.082465194612797
-0.85634505665287675, 1.8093827993214564
-0.66024688933598352, 1.6116227771104708
-0.46242408832848275, 1.445348975275314
-0.26848178591243238, 1.2891567000312962
-0.083179479619474972, 1.1300712559050894
0.088132548554354484, 0.95826667867674542
0.23863655751688884, 0.76538842799759232
0.3595836837549875, 0.54526009383057017
0.44080374250839494, 0.2969937679811876
0.47307712045619227, 0.029029999801363816
0.45203181742251769, -0.24106352434136283
0.38056996860761599, -0.49459936983493225
0.26721607019289301, -0.72091071387940797
0.12221030763775415, -0.91919377827953297
-0.045302131356073493, -1.094835181020794
-0.22811076080329379, -1.2558655998224104
-0.42061502994787148, -1.4117410493738354
-0.61802184686098682, -1.5744856525979056
-0.81508455673511349, -1.7629592382953696
-1.0033757681868312, -2.014263215715289
-1.16318931425271, -2.410521165719248
-1.2438677356005166, -3.0610473626560153
-1.1908378381224904, 2.519820987909291
-1.04140947214238, 2.0771387147444003
-0.8565270503834701, 1.8052090033569785
-0.66032650114955638, 1.6081545165541336
-0.46253179494712576, 1.4422892187676957
-0.26870736022393166, 1.2863239868831184
-0.08359884610382845, 1.1273536449192119
0.087445901939949347, 0.9556033944884802
0.23760995750270311, 0.76277375588834129
0.35815526103763407, 0.54276223827152814
0.43894674130027439, 0.29476639426198376
0.47082865453393957, 0.027271048805972149
0.44949571287795947, -0.24221712329538392
0.37787716839518182, -0.49514707303863076
0.26447595204214985, -0.72095459594321332
0.11949025792980186, -0.91885760517244175
-0.047971731691210509, -1.094215415491789
-0.23072485612798402, -1.2550209446404388
-0.42318561897417967, -1.4106999626657963
-0.62057511127001219, -1.5732631939599724
-0.81766236294449779, -1.7616012677201793
-1.0060339181358016, -2.013020445117008
-1.165929669837309, -2.41057726819678
-1.24624397397717, -3.0653132299089134
-1.192002106337969, 2.513343217361769
-1.0418134135202206, 2.071917540833248
-0.85660670487980184, 1.8011399315058427
-0.66030913238837752, 1.604778310084525
-0.46254378404853608, 1.4393095788446277
-0.26883582421367469, 1.283561322416889
-0.083917905302767909, 1.1246969130267754
0.086863924021727767, 0.95299118758241386
0.23669279357097331, 0.76019777353930784
0.35684024888389493, 0.54028589514838132
0.43720451739665084, 0.29253715409589742
0.46869175053101275, 0.025482199798012799
0.44706260211133791, -0.2434278987382924
0.37527486229557044, -0.49577283587477644
0.26181256419769311, -0.72108957733949175
0.11683413666596869, -0.91862006353127579
-0.050588060824571193, -1.093699576675598
-0.23329371552672973, -1.254286002051705
-0.42571610281757805, -1.4097770742679978
-0.62308997601107385, -1.5721724001747932
-0.82019879264294027, -1.7603964554706442
-1.0086401241869412, -2.0119641295789257
-1.168593925050064, -2.410860466201627
-1.248504592759447, -3.069763338093571
-1.1930381295976513, 2.506902033773202
-1.0421047501815384, 2.066807330897778
-0.85658530850086001, 1.7971788343998931
-0.66019592736939847, 1.6014963831843905
-0.4624610190417533, 1.436411795468136
-0.26886794951685206, 1.280870187420614
-0.084137229802471111, 1.1221023863534958
0.086386247497278093, 0.95043127919386772
0.23588490658053574, 0.75766162349384136
0.35563869459368636, 0.53783215824426656
0.43557732472965754, 0.29030715019007958
0.46666688338739709, 0.023664627040715553
0.44473320224336654, -0.24469462432425218
0.37276400205024557, -0.49647550545343622
0.25922704057426255, -0.72131471060356567
0.11424318541636524, -0.91848047465224025
-0.053149839116407298, -1.0932872618566598
-0.23581607513317843, -1.2536606375785644
-0.428205271695284, -1.4089725286020602
-0.62556530982005132, -1.5712137545537805
-0.82269279704904941, -1.759345782638055
-1.011193364925053, -2.0110960577910846
-1.1711808620186663, -2.411373027912173
-1.2506483383238955, -3.0743930855192256
-1.1939464304013803, 2.500507409263431
-1.042284790078941, 2.061813577488043
-0.85646418587581064, 1.793328847613631
-0.65998806246120179, 1.5983108894157154
-0.46228449574135633, 1.4335975634264044
-0.26880454169247875, 1.278252035255581
-0.084257427474858926, 1.1195713767550293
0.08601246925482546, 0.94792488684488396
0.23518610229497755, 0.75516645284191186
0.3545506123246705, 0.53540213070111198
0.43406538655866234, 0.28807749435616464
0.46475449910871103, 0.021819509689608857
0.44250820222688791, -0.2460160711126578
0.37034551276031386, -0.49725392194779877
0.25672049250310619, -0.72162903233025888
0.11171862982501278, -0.91843813457130818
-0.055655794546171998, -1.0929780354169762
